Car,IndIncome,IncomeCategory
0,5.241962,5
1,1.151942,1
0,2.085007,2
1,3.718303,3
1,2.036221,2
0,4.03247,4
1,1.195424,1
1,3.447478,3
1,1.208929,1
0,2.565703,2
1,2.626054,2
1,3.695708,3
1,2.511097,2
0,1.130603,1
1,3.549048,3
1,5.957489,5
1,3.105746,3
0,1.931561,1
1,2.113291,2
1,3.749515,3
1,3.228838,3
1,2.10489,2
1,5.09084,5
0,3.794507,3
1,2.601984,2
1,3.879293,3
1,3.841908,3
1,2.010548,2
0,1.191869,1
0,1.217214,1
0,3.903699,3
1,4.545695,4
1,4.141696,4
1,2.965821,2
1,4.364609,4
0,1.469974,1
1,1.792481,1
1,2.977743,2
1,5.658951,5
0,3.651082,3
0,1.985991,1
1,2.741991,2
1,1.238998,1
0,1.302002,1
0,1.131585,1
0,2.888988,2
1,3.734426,3
1,1.162667,1
1,4.899493,4
0,1.271283,1
1,2.865932,2
0,1.452098,1
1,3.653402,3
1,2.958417,2
1,4.899769,4
1,2.864885,2
1,1.110233,1
0,1.652964,1
1,4.431211,4
1,3.78741,3
1,3.385118,3
1,2.883459,2
1,4.419082,4
1,3.624118,3
1,5.881704,5
0,3.378617,3
1,4.686274,4
1,2.896708,2
1,2.802008,2
1,1.809951,1
1,2.689904,2
0,2.373481,2
1,1.164395,1
1,2.879615,2
1,1.279816,1
0,1.559462,1
1,4.133016,4
1,4.673481,4
0,4.672389,4
0,1.455916,1
1,3.813329,3
1,2.107194,2
1,3.734549,3
1,2.800949,2
0,2.977905,2
1,2.371164,2
1,4.158971,4
1,5.269761,5
1,1.019696,1
1,1.463405,1
1,3.926676,3
0,1.464702,1
1,1.331493,1
1,4.726611,4
1,2.478642,2
1,4.210108,4
0,2.225712,2
1,4.338605,4
1,4.337471,4
1,3.448281,3
1,1.591322,1
1,4.570171,4
1,2.485368,2
1,3.829673,3
0,2.68484,2
0,1.696991,1
1,2.404184,2
1,1.888625,1
1,5.025588,5
1,2.56353,2
0,3.783375,3
0,1.619434,1
1,2.956063,2
1,5.301514,5
1,2.0301,2
1,5.339772,5
0,1.74468,1
0,4.392528,4
1,3.316815,3
1,2.215497,2
1,1.696084,1
0,3.092152,3
0,4.254643,4
1,4.580024,4
0,3.422292,3
0,4.513525,4
0,1.084743,1
1,5.294194,5
0,4.491703,4
1,1.889295,1
1,4.741912,4
1,2.702982,2
0,2.852067,2
1,2.994446,2
1,3.065066,3
1,2.552171,2
1,3.115216,3
1,5.782008,5
1,1.217772,1
0,4.416986,4
1,2.295887,2
1,1.319955,1
0,1.842602,1
1,4.35931,4
1,1.178526,1
1,3.800482,3
1,1.860139,1
0,1.453108,1
1,3.555683,3
1,4.640596,4
1,2.415475,2
1,1.792781,1
1,3.875577,3
1,3.751572,3
1,2.167601,2
1,4.962387,4
1,2.956887,2
1,3.231085,3
1,5.886965,5
1,2.053811,2
1,1.279294,1
1,4.00253,4
1,2.166067,2
1,2.540071,2
1,3.303774,3
1,5.006897,5
0,2.448797,2
1,5.020018,5
1,2.5804,2
0,3.992483,3
1,5.139222,5
1,1.117247,1
1,5.820729,5
1,3.19,3
1,4.960448,4
1,3.449445,3
1,2.822238,2
1,5.287087,5
1,4.674933,4
1,2.729813,2
1,3.118168,3
1,2.930231,2
1,2.505411,2
0,1.370564,1
1,1.718231,1
1,4.458792,4
1,1.226197,1
0,2.032316,2
1,2.437337,2
1,3.472729,3
0,3.354645,3
1,4.319532,4
1,1.446253,1
1,1.279821,1
0,1.409251,1
1,3.663592,3
1,2.334014,2
1,4.566879,4
1,3.926484,3
1,4.50459,4
1,2.648964,2
1,2.200042,2
1,4.763526,4
1,1.33532,1
1,2.15465,2
0,3.379343,3
1,1.270786,1
1,1.648877,1
0,4.425599,4
1,2.814112,2
1,1.384376,1
0,1.969699,1
1,2.556063,2
1,5.454669,5
0,1.185464,1
1,1.56777,1
1,4.280931,4
1,2.64828,2
1,4.376914,4
1,5.208205,5
1,2.484521,2
0,1.292599,1
1,2.492025,2
1,1.6528,1
1,3.026761,3
1,3.09497,3
0,3.852606,3
1,2.552495,2
1,1.863739,1
1,4.246763,4
1,1.986098,1
1,3.713042,3
1,3.72023,3
0,2.955143,2
0,4.44674,4
0,1.680995,1
1,2.200736,2
1,2.910869,2
0,3.284636,3
0,1.399796,1
1,4.34956,4
0,5.536008,5
0,1.086863,1
0,1.088587,1
1,3.829747,3
1,5.863822,5
1,1.279315,1
1,4.855175,4
1,1.482026,1
1,1.599844,1
0,4.962981,4
0,3.125498,3
1,3.986822,3
1,3.739564,3
1,4.253774,4
1,1.799601,1
1,3.848424,3
0,3.369211,3
1,1.009815,1
0,4.098423,4
1,2.944996,2
1,3.860189,3
1,1.01233,1
0,1.325572,1
1,4.794672,4
1,3.255435,3
1,1.905822,1
0,1.294843,1
1,1.031565,1
0,3.047362,3
1,4.387166,4
1,4.855594,4
1,4.407929,4
1,3.500174,3
1,1.186724,1
1,1.68579,1
1,1.372109,1
0,1.814025,1
1,2.096385,2
1,2.110612,2
0,3.028047,3
1,4.576854,4
1,3.395945,3
0,2.855592,2
0,1.227116,1
1,1.340723,1
1,4.161557,4
1,2.480895,2
1,3.018975,3
0,3.595263,3
1,4.592573,4
0,4.438632,4
1,4.416179,4
0,2.581129,2
1,3.342775,3
1,1.586301,1
1,2.766502,2
1,3.488935,3
1,2.369973,2
1,3.818493,3
0,3.603863,3
0,4.015646,4
1,2.924651,2
1,3.03682,3
1,1.445448,1
1,4.055373,4
1,2.241226,2
1,3.353274,3
1,2.842556,2
0,3.779881,3
1,5.89159,5
1,1.736847,1
0,2.513088,2
1,4.29993,4
1,3.45423,3
0,1.192081,1
1,3.981029,3
0,4.983847,4
0,2.468212,2
1,5.519876,5
1,2.701895,2
1,4.938586,4
1,3.87034,3
1,2.042312,2
1,2.629107,2
1,2.955023,2
1,5.861099,5
1,2.665989,2
0,1.691223,1
1,2.167158,2
1,5.582065,5
1,5.89032,5
0,2.247203,2
1,2.307605,2
1,2.5849,2
1,1.590514,1
0,3.079276,3
1,1.435569,1
1,4.920201,4
1,2.110659,2
1,3.883261,3
1,1.189355,1
0,3.395646,3
1,3.128647,3
1,3.333089,3
1,1.582473,1
1,3.420521,3
1,2.228941,2
0,1.353851,1
1,5.052423,5
0,2.40852,2
1,2.50785,2
1,5.208121,5
1,1.000708,1
1,2.294182,2
0,3.234547,3
1,3.980707,3
0,2.319193,2
1,1.763839,1
1,2.118741,2
1,5.742117,5
1,1.521819,1
1,4.695213,4
0,1.215647,1
0,2.847454,2
1,5.150237,5
1,3.92401,3
1,1.224826,1
1,2.415409,2
1,5.108942,5
0,1.140943,1
1,1.183637,1
1,2.080444,2
1,5.183038,5
0,4.203973,4
1,5.028399,5
0,1.236261,1
1,4.122302,4
0,1.653742,1
0,2.08708,2
0,3.134259,3
1,2.477612,2
1,3.675059,3
1,1.044246,1
0,3.677138,3
1,2.18582,2
0,2.26602,2
1,2.29483,2
1,3.681102,3
1,2.898031,2
1,2.095608,2
1,3.613592,3
1,1.071391,1
0,1.681159,1
1,4.166003,4
0,3.565625,3
1,3.152394,3
1,4.072313,4
0,3.195442,3
1,1.211913,1
0,3.56033,3
1,2.078326,2
1,3.510853,3
1,4.60315,4
1,4.638628,4
0,4.619046,4
1,4.517619,4
0,2.204386,2
1,3.852399,3
0,1.519419,1
1,2.704586,2
1,2.602649,2
0,1.113114,1
1,4.435378,4
1,2.864377,2
1,3.717082,3
1,5.266498,5
0,1.805739,1
1,4.833353,4
1,2.069956,2
1,4.024021,4
1,1.850592,1
0,3.968551,3
1,3.810872,3
1,3.038109,3
0,4.746183,4
0,3.705333,3
1,2.876771,2
1,3.334843,3
1,3.312841,3
1,3.839336,3
0,5.828884,5
1,5.96984,5
1,2.154535,2
0,2.105611,2
1,1.308122,1
1,4.483301,4
0,1.036695,1
0,1.354057,1
1,2.089075,2
0,1.3625,1
0,1.017234,1
1,2.314751,2
1,2.481111,2
0,4.94948,4
1,5.193703,5
1,2.372059,2
1,4.489491,4
1,3.061264,3
1,5.457005,5
1,4.24086,4
1,2.552343,2
0,1.032828,1
0,2.641503,2
1,3.970125,3
0,3.727534,3
1,2.698044,2
1,3.765165,3
1,4.628302,4
1,1.916402,1
1,4.847837,4
1,2.459378,2
1,3.579159,3
1,3.942503,3
1,4.290235,4
1,1.568756,1
0,4.003496,4
0,3.414603,3
1,4.059221,4
1,5.029458,5
0,2.38453,2
1,3.743367,3
1,3.897405,3
1,3.200905,3
1,2.203137,2
1,1.786222,1
1,1.009627,1
1,2.609129,2
1,3.309667,3
1,3.523777,3
1,4.838992,4
1,3.100517,3
0,3.059251,3
1,2.326511,2
1,4.705268,4
0,3.079224,3
1,3.011517,3
0,1.074923,1
1,2.777137,2
1,5.970658,5
0,4.186002,4
1,1.167028,1
1,1.544921,1
0,3.36894,3
1,1.544334,1
1,2.373991,2
1,2.073025,2
1,1.209837,1
1,4.69583,4
1,2.068194,2
1,1.928118,1
1,3.113235,3
0,1.679154,1
1,4.832119,4
1,3.466815,3
1,2.57878,2
1,1.861217,1
1,2.843319,2
1,1.109612,1
1,4.545835,4
1,5.425805,5
1,1.564416,1
1,1.607926,1
1,1.098083,1
1,1.562001,1
1,4.619813,4
1,3.028189,3
0,2.986569,2
1,2.812862,2
1,2.377828,2
1,2.012767,2
1,2.722699,2
1,5.418819,5
1,2.825402,2
1,2.833786,2
1,4.00327,4
1,3.962474,3
1,2.23722,2
1,1.934266,1
0,4.687316,4
1,3.872099,3
0,4.165989,4
1,4.98207,4
1,2.375917,2
1,1.140138,1
1,2.812262,2
1,3.62482,3
0,1.989072,1
1,2.903094,2
1,3.87905,3
1,4.860736,4
1,1.395689,1
1,1.499405,1
1,2.925395,2
1,2.443916,2
1,1.462066,1
0,1.655816,1
0,5.419713,5
0,3.261504,3
1,3.851299,3
1,5.722785,5
1,4.880071,4
1,1.401167,1
1,2.003633,2
1,4.900492,4
1,2.791474,2
0,2.72642,2
0,2.956858,2
1,3.689036,3
0,1.510505,1
1,1.704395,1
0,1.618531,1
1,4.171932,4
1,2.913112,2
1,2.855686,2
0,2.960153,2
1,2.271808,2
1,3.971711,3
1,2.633307,2
1,2.159354,2
0,1.86215,1
1,2.863445,2
1,1.496781,1
1,4.535613,4
1,1.743161,1
1,3.959954,3
1,2.760575,2
1,2.162886,2
0,1.497463,1
0,4.450947,4
1,3.397272,3
0,3.246091,3
0,1.774371,1
0,5.648221,5
1,3.346179,3
1,2.713211,2
1,3.75593,3
1,5.13465,5
0,1.829574,1
1,4.39337,4
1,4.079761,4
1,2.488118,2
1,5.049293,5
1,3.71921,3
1,3.5103,3
1,4.758289,4
0,1.101197,1
0,1.38372,1
1,4.0283,4
0,3.508748,3
0,4.158555,4
1,2.100045,2
0,4.844537,4
1,4.517304,4
1,2.197985,2
1,3.79569,3
1,2.531058,2
1,5.187764,5
0,1.400214,1
1,1.010221,1
1,1.151258,1
1,5.066144,5
0,1.911704,1
1,3.209577,3
0,2.35132,2
1,3.248554,3
1,4.146629,4
0,1.928777,1
1,2.808402,2
0,3.090683,3
1,2.697713,2
1,2.907967,2
1,1.422507,1
0,1.33646,1
0,2.845203,2
1,4.963061,4
1,5.961409,5
0,2.201594,2
0,5.003155,5
0,2.799956,2
1,5.33605,5
0,1.986512,1
1,2.957375,2
1,2.659747,2
1,1.744159,1
1,2.097331,2
1,2.477044,2
1,3.631784,3
1,4.85841,4
1,5.113047,5
1,4.21652,4
1,4.582107,4
0,5.024213,5
1,1.565419,1
1,2.148216,2
1,5.417761,5
1,1.86868,1
0,3.651369,3
1,3.609541,3
0,2.372568,2
1,2.030238,2
0,1.013621,1
1,2.285763,2
1,4.463896,4
1,5.79708,5
1,4.118433,4
1,1.488929,1
0,4.590977,4
1,3.173165,3
1,3.28657,3
0,2.785074,2
1,5.009626,5
1,3.245555,3
0,1.698919,1
1,1.464727,1
1,2.329826,2
1,4.879541,4
0,1.32459,1
0,3.98132,3
1,4.556708,4
0,4.193132,4
1,2.852201,2
1,3.317798,3
1,4.251212,4
1,1.267241,1
0,4.966203,4
1,2.41649,2
1,5.986545,5
0,3.565187,3
1,2.988102,2
1,2.314668,2
1,2.178627,2
1,2.450572,2
1,2.263217,2
0,3.169548,3
1,2.873697,2
1,3.882731,3
1,1.742324,1
1,2.475835,2
1,1.301787,1
0,3.604853,3
1,5.726943,5
0,2.597906,2
1,5.360998,5
1,1.339116,1
1,2.072987,2
1,2.212571,2
0,4.197834,4
1,1.677631,1
1,3.640532,3
1,2.547546,2
1,2.159709,2
1,3.318205,3
1,4.421738,4
1,1.477533,1
1,4.350061,4
0,1.701863,1
1,3.595415,3
1,4.171351,4
0,2.755186,2
1,4.338245,4
1,5.743363,5
1,2.284467,2
0,2.945917,2
1,4.406315,4
1,2.791153,2
1,1.596678,1
1,1.10004,1
1,1.861201,1
1,3.058847,3
1,5.703324,5
1,3.594652,3
0,2.065571,2
1,1.009597,1
1,4.656824,4
0,2.890587,2
1,1.765743,1
1,3.733404,3
1,2.113994,2
1,1.645066,1
0,1.279727,1
1,2.314503,2
1,1.451592,1
1,4.64719,4
0,1.478327,1
1,5.004064,5
1,5.186621,5
1,1.310876,1
0,1.523233,1
0,1.460324,1
1,4.937141,4
1,4.468614,4
1,2.635868,2
1,1.031532,1
0,1.132402,1
1,1.328923,1
1,4.587696,4
1,2.28389,2
1,5.013473,5
0,1.311462,1
1,3.520565,3
1,2.068536,2
0,1.126778,1
1,4.172768,4
1,3.418915,3
1,4.777099,4
1,4.066411,4
1,2.968939,2
1,5.078804,5
1,4.776116,4
1,2.311501,2
0,2.386135,2
1,2.591291,2
1,4.245241,4
1,2.833207,2
0,5.171191,5
1,5.093673,5
1,2.421922,2
1,5.810936,5
1,3.14709,3
1,4.431258,4
0,5.871488,5
0,1.199698,1
1,3.760081,3
1,1.650644,1
0,5.68659,5
1,2.457739,2
1,4.835598,4
1,3.499942,3
1,2.397852,2
1,2.293211,2
1,4.397567,4
1,3.085844,3
1,5.11795,5
1,2.783574,2
0,1.543373,1
1,2.577374,2
1,2.266743,2
1,4.566063,4
0,1.835638,1
1,2.969214,2
1,1.994962,1
1,4.642337,4
1,4.21153,4
1,3.624248,3
1,1.056949,1
1,1.608462,1
1,5.357014,5
1,1.056824,1
1,2.81866,2
1,5.039822,5
0,2.870594,2
1,5.754984,5
0,2.276995,2
1,3.286315,3
1,2.85348,2
0,1.30938,1
1,1.834144,1
1,4.94284,4
1,3.520251,3
1,1.366672,1
1,1.053763,1
1,2.164649,2
1,4.429166,4
0,1.04078,1
0,2.113027,2
1,2.827263,2
1,1.343201,1
0,2.358268,2
1,4.665511,4
1,4.050966,4
1,3.558118,3
1,2.920906,2
1,2.142556,2
1,3.530082,3
1,4.327468,4
1,3.485502,3
1,2.098686,2
1,1.647625,1
1,3.797784,3
1,3.412875,3
1,2.665479,2
1,2.984245,2
1,4.367155,4
0,1.388336,1
0,2.189123,2
1,1.228433,1
0,1.426452,1
1,1.809141,1
1,2.516902,2
1,5.196914,5
1,3.812778,3
1,1.045056,1
1,4.097732,4
1,2.481449,2
1,2.299171,2
1,4.247094,4
1,4.996334,4
1,1.956273,1
1,4.144757,4
0,3.090699,3
1,4.785036,4
1,2.694807,2
1,1.760755,1
0,4.200102,4
1,4.855202,4
1,1.897141,1
1,4.073554,4
1,5.804368,5
1,1.426651,1
1,4.10094,4
1,5.619158,5
1,1.743029,1
1,2.681319,2
1,2.070948,2
1,3.161783,3
1,3.25044,3
1,4.737116,4
1,1.641591,1
1,4.324315,4
1,2.715203,2
1,2.293175,2
1,3.826484,3
1,2.932119,2
0,1.499771,1
1,3.630716,3
1,5.113731,5
1,1.476973,1
0,1.905783,1
1,2.498593,2
1,5.022951,5
1,4.7865,4
1,4.203655,4
1,1.316001,1
1,2.986975,2
0,3.157309,3
1,2.939352,2
1,1.402672,1
1,1.148639,1
0,1.890871,1
1,2.933969,2
1,1.668492,1
1,5.495195,5
0,1.051336,1
1,2.3008,2
0,1.956521,1
1,4.388825,4
1,3.30613,3
1,2.766122,2
1,2.860499,2
1,2.069943,2
1,2.89644,2
1,4.143408,4
0,1.860832,1
1,2.72049,2
1,3.685115,3
1,1.14673,1
0,1.050579,1
1,2.207598,2
0,2.569824,2
1,4.28004,4
1,2.209482,2
1,1.79056,1
0,2.386523,2
0,1.831632,1
1,4.577599,4
0,1.229825,1
0,1.109519,1
0,1.042475,1
1,3.835928,3
1,3.963616,3
1,1.487597,1
1,3.011113,3
1,4.738147,4
0,1.381304,1
1,5.123545,5
0,2.128713,2
1,2.125237,2
1,3.558666,3
1,3.571891,3
1,3.562873,3
1,4.769346,4
1,2.630268,2
1,2.431073,2
1,4.075641,4
1,2.938154,2
1,5.083524,5
1,1.871299,1
1,5.135057,5
1,5.48012,5
1,3.226717,3
1,4.985072,4
1,2.962993,2
0,2.87176,2
1,1.0964,1
1,3.585331,3
1,4.531857,4
1,1.174154,1
1,3.264234,3
1,1.119717,1
1,3.004569,3
1,3.520983,3
1,4.725925,4
1,1.110422,1
1,3.392866,3
1,4.178931,4
1,2.212619,2
1,3.112451,3
0,4.825838,4
1,3.047439,3
1,2.089688,2
1,1.416765,1
1,2.854961,2
1,2.877441,2
1,1.743122,1
1,2.27844,2
0,3.762475,3
0,2.995018,2
1,1.031187,1
1,3.443587,3
1,5.602557,5
1,2.596779,2
1,3.650839,3
1,1.273399,1
1,1.61087,1
1,2.041972,2
1,4.111833,4
1,4.213568,4
0,2.317057,2
1,1.392553,1
1,3.927799,3
1,2.122821,2
1,4.243999,4
1,1.637259,1
1,3.815021,3
0,1.203228,1
0,1.452966,1
0,2.483553,2
1,2.828306,2
1,2.250638,2
1,1.035,1
1,4.487117,4
1,2.929872,2
0,1.586375,1
1,5.329192,5
0,2.035245,2
0,1.045194,1
0,2.777156,2
1,5.550189,5
1,4.347324,4
0,4.047021,4
0,1.37415,1
1,4.883892,4
1,2.774916,2
0,3.345664,3
1,3.239019,3
0,2.211652,2
1,3.239851,3
1,4.77995,4
0,3.689126,3
1,4.282665,4
1,3.027559,3
1,5.970042,5
0,2.553595,2
0,2.983649,2
0,3.443475,3
0,5.333554,5
0,1.248117,1
1,2.084295,2
0,1.323958,1
1,2.154543,2
1,2.814573,2
1,1.960859,1
0,1.222913,1
1,3.586501,3
0,1.871204,1
1,3.1756,3
1,2.214311,2
0,1.607389,1
1,4.418252,4
1,3.771408,3
1,1.155819,1
1,5.423808,5
1,4.308001,4
1,2.44656,2
1,4.238723,4
1,1.616558,1
0,1.911954,1
1,3.979182,3
1,3.06291,3
0,4.366599,4
0,2.711473,2
1,4.566251,4
1,2.240782,2
0,1.591522,1
1,3.526062,3
0,1.778368,1
0,1.324194,1
1,2.972497,2
1,2.920861,2
0,4.110584,4
1,2.55027,2
1,1.743388,1
1,4.934952,4
1,2.61302,2
1,4.325974,4
1,5.388596,5
1,1.004719,1
1,1.51797,1
1,3.552566,3
1,3.91875,3
1,1.489469,1
1,2.919905,2
1,2.938179,2
0,3.006527,3
0,2.511448,2
1,2.196453,2
1,2.306744,2
1,1.286503,1
1,3.44835,3
1,2.361644,2
0,1.769214,1
0,1.620283,1
0,3.622841,3
0,4.749305,4
1,3.372983,3
1,3.811968,3
1,1.967615,1
1,4.634936,4
1,3.072019,3
0,1.151354,1
0,2.041156,2
0,1.029581,1
0,1.270368,1
1,5.141045,5
0,3.933797,3
0,1.494187,1
1,1.732233,1
0,1.024008,1
1,3.951792,3
1,2.259409,2
1,1.631605,1
1,1.86416,1
0,2.792585,2
1,4.337773,4
1,5.040588,5
1,4.477523,4
1,1.982305,1
1,3.049419,3
1,3.849408,3
1,2.392025,2
1,1.006359,1
1,4.422915,4
0,2.46835,2
1,5.485962,5
1,2.741828,2
1,4.90859,4
1,1.64436,1
1,2.734575,2
0,1.214017,1
1,3.343858,3
1,4.433894,4
1,5.377184,5
1,4.618069,4
0,1.446976,1
0,3.35383,3
0,2.211256,2
0,1.697632,1
1,1.774038,1
0,5.645356,5
1,3.574399,3
0,4.851659,4
1,3.949525,3
1,2.534132,2
1,4.52498,4
0,1.214834,1
1,4.014275,4
1,5.827359,5
1,2.879633,2
0,2.364611,2
0,1.574545,1
0,3.604409,3
1,2.27591,2
0,3.679013,3
1,3.534463,3
1,2.508085,2
1,3.771435,3
0,1.599703,1
1,4.28192,4
1,3.723262,3
0,2.961507,2
1,3.658403,3
1,2.493854,2
1,4.99981,4
1,1.481627,1
1,2.6995,2
0,1.72023,1
1,5.189278,5
1,3.096118,3
1,3.804816,3
0,1.212844,1
1,4.887772,4
1,3.241782,3
0,3.184777,3
1,5.24642,5
1,5.64437,5
1,3.316079,3
1,3.065701,3
1,3.490105,3
1,3.714838,3
0,1.153347,1
1,1.435428,1
1,4.168736,4
1,3.002481,3
1,1.085759,1
0,1.615935,1
1,4.715655,4
1,1.742711,1
1,2.019298,2
1,4.489591,4
0,1.473121,1
1,4.255898,4
1,4.381204,4
1,2.51633,2
0,3.019348,3
0,4.092297,4
1,4.856826,4
1,3.529017,3
1,4.878879,4
1,1.844558,1
1,2.493597,2
1,4.669727,4
1,4.323531,4
0,1.919556,1
0,1.81069,1
1,2.361956,2
1,3.438207,3
1,3.996423,3
1,3.036474,3
1,2.471426,2
1,4.807081,4
1,1.147187,1
1,1.148503,1
1,1.213256,1
1,4.194351,4
0,2.541855,2
1,1.590899,1
0,1.258062,1
1,1.465963,1
1,3.164981,3
1,2.410575,2
0,3.832323,3
0,2.771622,2
0,2.262946,2
0,3.777379,3
1,4.273383,4
0,3.381486,3
1,4.043581,4
1,4.923942,4
0,2.936965,2
1,2.641009,2
1,4.848709,4
1,3.109412,3
1,1.608041,1
0,2.774637,2
0,2.882148,2
0,2.111118,2
1,3.281014,3
1,2.850022,2
0,4.657243,4
0,1.960897,1
0,2.139992,2
1,3.208374,3
0,3.493408,3
1,2.871287,2
1,1.555824,1
1,2.58188,2
1,3.060373,3
1,4.996676,4
1,5.318856,5
1,3.728697,3
1,5.966144,5
1,2.496051,2
0,4.812353,4
1,4.228319,4
1,2.123081,2
0,2.396204,2
1,3.142818,3
1,1.393227,1
1,3.588893,3
1,2.337077,2
1,3.394518,3
1,3.64882,3
0,1.454495,1
1,5.534721,5
0,1.587379,1
1,1.223807,1
0,1.353244,1
1,2.087672,2
1,1.549054,1
1,2.814122,2
1,2.048007,2
1,2.945459,2
0,3.339593,3
1,3.970061,3
0,1.69225,1
1,5.676554,5
1,2.087086,2
0,1.686416,1
0,2.026271,2
1,4.219741,4
1,1.515589,1
1,2.531589,2
0,1.128603,1
0,1.365833,1
1,1.881636,1
1,3.036408,3
1,2.931439,2
0,2.403512,2
0,1.155945,1
1,4.120652,4
1,4.921933,4
1,4.820086,4
1,5.877435,5
0,1.033018,1
0,3.457592,3
1,1.157861,1
1,1.75801,1
1,3.091,3
1,3.152658,3
1,2.469844,2
0,1.619979,1
1,3.816298,3
1,2.608328,2
1,4.763126,4
0,2.165876,2
1,3.956738,3
1,2.286129,2
0,5.330612,5
0,2.483938,2
1,2.156505,2
1,3.170249,3
1,2.792066,2
1,2.880163,2
1,2.662649,2
1,4.533028,4
1,1.564981,1
0,1.337677,1
1,3.071795,3
1,4.265649,4
0,1.449388,1
1,2.778963,2
1,1.444656,1
0,1.778358,1
0,2.091798,2
0,1.322436,1
1,2.280927,2
1,3.822362,3
1,4.376522,4
0,3.754934,3
1,3.138423,3
1,3.403831,3
1,4.081293,4
1,4.05192,4
1,5.301183,5
1,2.151371,2
1,3.71618,3
0,1.535034,1
1,5.006742,5
1,3.98257,3
1,4.080907,4
1,2.600184,2
1,5.569913,5
1,2.632285,2
1,2.852427,2
0,1.41465,1
1,2.099663,2
1,4.19551,4
0,1.963671,1
1,4.698822,4
1,3.013384,3
1,2.788026,2
1,3.459319,3
1,4.163677,4
1,4.924284,4
1,5.455215,5
1,4.827532,4
1,3.870944,3
1,4.577504,4
0,3.493631,3
1,4.197914,4
1,2.554039,2
1,3.295351,3
1,5.147989,5
1,4.833405,4
0,1.933554,1
1,2.354807,2
1,1.550289,1
1,4.284369,4
0,4.671114,4
1,2.917747,2
1,5.173852,5
1,1.783501,1
1,2.746729,2
1,3.592074,3
1,1.892349,1
1,5.27027,5
1,3.787491,3
1,2.681952,2
0,4.448801,4
1,5.722517,5
0,3.314403,3
1,1.279512,1
1,4.602136,4
0,3.422186,3
1,3.336785,3
1,2.273928,2
1,4.371502,4
1,1.697508,1
1,4.614429,4
1,2.145641,2
0,1.81812,1
1,3.191761,3
1,4.586112,4
1,2.90796,2
0,1.59499,1
1,4.935203,4
0,1.15644,1
1,4.956893,4
0,3.766564,3
0,1.747665,1
1,2.301324,2
1,5.993784,5
1,4.256948,4
0,1.329782,1
1,1.756339,1
1,2.274706,2
1,4.904402,4
0,3.599546,3
1,4.562064,4
0,1.617748,1
1,2.5812,2
1,3.388029,3
1,2.514454,2
1,2.686985,2
1,4.799397,4
1,4.093853,4
0,1.404323,1
1,5.110343,5
1,5.315098,5
1,3.768004,3
1,2.883281,2
1,3.122814,3
1,3.293672,3
1,5.565673,5
0,2.758797,2
1,2.305518,2
1,3.921692,3
1,5.477129,5
1,5.737121,5
1,1.717123,1
0,2.804954,2
1,1.1889,1
1,4.007638,4
1,5.518716,5
1,2.800596,2
1,1.514063,1
1,3.692477,3
1,4.410789,4
0,1.137256,1
0,4.544483,4
0,1.565895,1
0,3.961064,3
0,4.884709,4
0,3.312591,3
1,3.61854,3
1,3.003283,3
1,2.374223,2
1,3.872977,3
0,4.51363,4
1,3.550115,3
1,2.523777,2
1,1.946676,1
1,3.147832,3
0,1.81134,1
0,3.93842,3
1,2.349368,2
